"Day","Ticket","Assignee","Status","Problem","Approach","Observations"
"4","TICKET-ADV051","pshavela","Completed","Add Instrument entity with JSONB metadata","Implement JSONB metadata mapping and H2 PostgreSQL compatibility","Fixed schema file and ran H2 in PostgreSQL compatibility mode"
"4","TICKET-ADV052","pshavela","Completed","Wire Hibernate Envers for Trade history","Enable Envers and audit Trade changes through historical revisions","Audit requires schema change and table creation; no code action needed here"
"4","TICKET-ADV053","pshavela","Completed","Add DTO layer and PagedResponse envelope","Create TradeRequest/TradeResponse records and generic pagination wrapper","Kept wire shapes separate from JPA entities"
"4","TICKET-ADV054","pshavela","Completed","Implement MapStruct mapper for Trade DTOs","Configure MapStruct and map Trade entities to/from DTOs","Updated TradeMapper and annotation processor setup"
"4","TICKET-ADV055","pshavela","Completed","Create TradeRepository with @Query filters","Implement derived findByTradeRef and optional filter query","No further changes needed; repository query support is in place"
"4","TICKET-ADV056","pshavela","Completed","Add Specification-based dynamic queries","Build reusable TradeSpecification factories and compose them for list queries","Avoided giant JPQL with optional filter specs"
"4","TICKET-ADV057","pshavela","Completed","Expose paginated trade list endpoint","Add GET /api/v1/trades with pageable, filterable, sortable results","Controller delegates to service list() using custom specs"
"5","TICKET-ADV063","pshavela","Completed","Implement GET /api/v1/trades list endpoint","Use TradeController list with Pageable and PagedResponse wrapper","Had to work around Hibernate closed session due to lazy ManyToOne fetch on Trade entity"
"5","TICKET-ADV064","pshavela","Completed","Implement POST /api/v1/trades create endpoint","Use @PostMapping, map request DTO to entity, validate and save Trade","Added counterparty/instrument lookup and exception mapping; fixed ResponseEntity return type handling"
"5","TICKET-ADV065","pshavela","Completed","Implement PUT /api/v1/trades/{id} update endpoint","Use @PutMapping and update existing Trade entity inside transaction","Added custom not-found exceptions for counterparty/instrument and ensured 404 translation"
"5","TICKET-ADV066","pshavela","Completed","Implement PATCH /api/v1/trades/{id}/status endpoint","Use @PatchMapping with validated StatusUpdate record body","Validated status field with @NotBlank and @Pattern; request body errors return 400"
"5","TICKET-ADV067","pshavela","Completed","Implement DELETE /api/v1/trades/{id} soft delete","Use @DeleteMapping and set deleted_at timestamp on Trade","Soft delete hides rows via @SQLRestriction while preserving audit history"
"5","TICKET-ADV068","pshavela","Completed","Implement POST /api/v1/recon/run async job trigger","Use @PostMapping to persist ReconJob and return jobId/status","Recognized recon_jobs wiring is required; created job record and response DTO"
"5","TICKET-ADV069","pshavela","Completed","Implement GET /api/v1/recon/jobs/{jobId}/results endpoint","Use paginated stub to return ReconBreaks results by jobId","Stubbed results to return all breaks paginated until full job wiring is completed"
"5","TICKET-ADV070","pshavela","Completed","Implement PUT /api/v1/recon/results/{id}/resolve endpoint","Use endpoint to mark break resolved and store note","Simple note save and status transition; endpoint semantics flexible though spec says PUT"
"5","TICKET-ADV071","pshavela","Completed","Implement GET /api/v1/audit/trades/{tradeRef} endpoint","Use JpaRepository on AuditLogEntry with orderByEventTimestampAsc query","Audit table audit_log tracks revisions; endpoint returns oldest-first history"
"5","TICKET-ADV072","litojokli","Completed","Implement JWT token generation","JwtTokenProvider issues signed token on login with claims and expiry","Verified token decodes with correct claims"
"5","TICKET-ADV073","litojokli","Completed","Implement JWT authentication filter","JwtAuthenticationFilter validates bearer token per request, sets SecurityContext","Requests with missing/invalid token rejected"
"5","TICKET-ADV074","litojokli","Completed","Wire Spring Security for JWT auth","SecurityConfig stateless sessions, permit /auth endpoints, secure the rest","Login issues token; protected routes need Bearer header"
"5","TICKET-ADV075","alexandraelenadumitrescu","Completed","MockMvc slice test for authenticated trade creation","@WebMvcTest excluding JwtAuthenticationFilter from the slice, @WithMockUser(TRADER), asserts 201 + Location + body fields","Mocking the filter via @MockBean makes it a no-op that never calls chain.doFilter, silently swallowing every request; had to exclude it from the slice instead"
"5","TICKET-ADV079","alexandraelenadumitrescu","Completed","Verify Liquibase migrations apply on a fresh Postgres","Testcontainers integration test asserting databasechangelog row count and seed data counts","db/seed_data.sql's 500 trades are not wired into Liquibase at all; asserted on counterparties/users instead, which 008-seed.xml actually loads"
"5","TICKET-ADV080","alexandraelenadumitrescu","Completed","API versioning and a worked deprecation example","Every controller already carried /v1; added LegacyTradesController returning 410 Gone with Deprecation/Sunset/Link headers at /v0/trades","Left AuthController unversioned on purpose - same file as in-progress JWT work, and renaming would break the documented /api/auth/login contract"
"6","TICKET-ADV081","shriya1808","Completed","Expose instrument cache metrics to monitor hit/miss ratios.","Enabled statistics on the Caffeine cache builder for instruments and ensured Spring Boot auto-configuration binds it to Micrometer.","cache_gets_total metric appears in /actuator/prometheus with cache=""instruments"" and result=""hit/miss"" tags."
"6","TICKET-ADV082","shriya1808","Completed","Expose counterparties cache metrics to monitor hit/miss ratios.","Applied the same Caffeine stats tracking and Micrometer binding to the counterparties cache configuration.","cache_gets_total metric now includes tags for cache=""counterparties"" with hit/miss results."
"6","TICKET-ADV083","shriya1808","Completed","Count the total number of trades successfully created in the system.","Created TradeMetrics.java component with a Counter named trade_created_total. Injected into TradeService to call .increment() upon save.","trade_created_total counter accurately increments by 1 for every successful trade POST request."
"6","TICKET-ADV084","shriya1808","Completed","Measure reconciliation engine batch duration for server-side P95 PromQL queries.","Created ReconMetrics.java to build a Timer with .publishPercentileHistogram(). Wrapped reconcile method inside timer.record(), replacing @Timed.","Verified _count, _sum, and _bucket series appear in /actuator/prometheus, enabling efficient P95 PromQL queries without streaming raw data."
"6","TICKET-ADV085","shriya1808","Completed","Publish a current-value sample (Gauge) of currently OPEN reconciliation breaks.","Created BreakCountGauge.java to register a pull-based Gauge executing ReconBreakRepository.countByStatus(""OPEN""). Removed duplicate from TradeMetrics.","Gauge dynamically pulls live DB count. Resolving a break via API drops the Prometheus value automatically on the next scrape without needing .set() calls."
"6","TICKET-ADV086","shriya1808","Completed","Record distribution of trade notional values (USD) to track trade size magnitudes (e.g., P95).","Added DistributionSummary to TradeMetrics with .baseUnit(""USD"") and percentile histograms. Recorded Quantity * Price in TradeService.","trade_value_total_{count,sum,bucket} appear alongside the creation counter, successfully tracking the magnitude of daily flow."
"6","TICKET-ADV092","alexandraelenadumitrescu","Completed","Grafana pie chart for trades by status","Added TradesByStatusGauge (one Micrometer Gauge per status) plus the pie chart panel in reconx-overview.json","Confirmed the panel persists via the provisioning file after a full Grafana container restart, not just Grafana's session state"
"6","TICKET-ADV095","alexandraelenadumitrescu","Completed","Custom Spring Boot Starter for audit events","New independent Maven module recon-audit-starter/ (AutoConfiguration + Properties + Publisher); backend depends on it via plain Maven coordinates; CI builds/installs it before verify","Guide assumed a root-level mvnw that doesn't exist in this repo; used ../backend/mvnw instead. Verified bean appears/disappears with reconx.audit.enabled"
"6","TICKET-ADV096","alexandraelenadumitrescu","Partial","JMX MBean for runtime tuning of tolerance and caching","ReconConfigMBean exposes priceTolerance/cachingEnabled/clearCache() via JMX, validated 0..1, verified live in JConsole","clearCache() is fully real; priceTolerance/cachingEnabled are NOT wired into ReconciliationEngine (enum-based ReconciliationRule design from day2) - does not meet the ticket's core acceptance criterion, documented as a known gap"
"7","TICKET-ADV098","FlorinDLF","Completed","Build Flexbox page shell with sidebar, header, main, footer","Convert trainer CSS Grid layout to nested Flexbox containers; body as vertical column, layout__body as horizontal row for sidebar + main; stat cards use flex-wrap not CSS Grid","Added FOUC-prevention IIFE in head; semantic HTML5 landmarks with ARIA roles throughout"
"7","TICKET-ADV099","FlorinDLF","Completed","Replace all hardcoded colours, spacing, radius with CSS custom properties on :root","Extended :root with additional tokens (text-muted, white, font-sizes, shadow, radius-lg); replaced all remaining hex/px in component rules with var()","Pure refactor — no visual changes; dark-mode overrides added for new tokens"
"7","TICKET-ADV100","FlorinDLF","Completed","Add dark/light theme toggle with localStorage persistence and zero FOUC","Fixed trainer theme.js; added aria-pressed toggle on #theme-toggle button; FOUC prevention via inline IIFE in head before stylesheet","Inline IIFE reads localStorage and sets data-theme before CSS loads; cascade resolves dark overrides automatically"
"7","TICKET-ADV101","FlorinDLF","Completed","Carve out trade feed area with slide-in animation and status borders","Added .trade-card--pending modifier with warning colour border; feed uses flex column layout with gap and overflow-y scroll","slide-in animation on .trade-card triggers automatically on DOM insertion; three status modifiers (matched/break/pending)"
"7","TICKET-ADV102","FlorinDLF","Completed","Build animation library with fade-in, slide-in, pulse keyframes and reduced-motion override","Added @keyframes fade-in and pulse; .trade-card--new combined entrance; .alert--danger with pulse 2s infinite; moved prefers-reduced-motion to bottom of stylesheet","Pulse uses scale + box-shadow ring for breathing glow effect; reduced-motion blanket-resets all animations with !important"
"7","TICKET-ADV103","FlorinDLF","Completed","Make dashboard responsive across desktop, tablet, mobile breakpoints","Rewrote tablet (max-width 1024px) and mobile (max-width 640px) breakpoints; sidebar becomes horizontal strip on tablet and hidden on mobile","Added min-width 0 on mobile stat cards to prevent overflow; no horizontal scroll at 375px"
"7","TICKET-ADV104","FlorinDLF","Completed","Open EventSource SSE subscription to /api/v1/trades/stream with connection badge","Rewrote sse.js with new EventSource and onopen/onerror/onmessage handlers; added #sse-status badge with three CSS states; beforeunload cleanup; no manual reconnection","Badge shows Live (green) on connect, Reconnecting (yellow) on error; demo fallback preserved; escapeHtml for XSS prevention"
"7","TICKET-ADV105","FlorinDLF","Completed","Prepend each SSE trade at top of feed with slide-in animation and 50-entry DOM cap","Implemented prependTradeRow with feed.prepend(); trade-card--new modifier removed after 500ms; while loop removes oldest entries beyond 50; escapeHtml and Intl.NumberFormat","Bundled into ADV104 sse.js since both share the same IIFE scope; DOM cap keeps page responsive during long sessions"
"7","TICKET-ADV106","FlorinDLF","Completed","Build sortable, resizable, frozen-header data table on trades.html","Created trades.html and trades.js; click-to-sort with aria-sort toggle and arrow indicators; drag-to-resize on document; position sticky header; demo data with API upgrade path","Resize listeners on document not the handle; no overflow:hidden ancestors so sticky works; status coloring via CSS classes"
"8","TICKET-ADV111","Lavinia31","Completed","Vite path aliases need to work at runtime and in the editor","Added missing frontend/jsconfig.json mirroring vite.config.js's alias map; added /stream proxy rule for the future SSE feed","Used relative paths in jsconfig.json instead of the deprecated baseUrl: '.'; verified in the running dev server, not just that it compiles"
"8","TICKET-ADV112","Lavinia31","Completed","Block protected pages from rendering when the user isn't logged in","Built withAuth(Component) HOC checking AuthContext's user, redirecting to /login otherwise; finished AuthContext (sessionStorage-backed) and apiService's authHeaders()/request() helpers","Confirmed in a real browser: empty sessionStorage always lands on /login; manually seeding the token unlocks the pages"
"8","TICKET-ADV113","Lavinia31","Completed","A render-time throw unmounts the whole tree to a blank screen","Filled in withErrorBoundary's getDerivedStateFromError/componentDidCatch/render, with a role=alert fallback and a Try again button that resets the error state","Verified with a Playwright script forcing Dashboard to throw; fallback rendered correctly and Try again re-attempts the render"
"8","TICKET-ADV114","Lavinia31","Completed","Need one reusable sortable/paginated table instead of one-off tables per page","Filled in DataTable.Header/Body/Pagination as a controlled compound component sharing state via context","Existing RTL test had empty TODO assertions; wrote a throwaway test with 5 real assertions to actually prove the behaviour, then deleted it (writing the real RTL assertions belongs to TICKET-ADV125)"
"8","TICKET-ADV115","Lavinia31","Completed","Need a reusable WebSocket hook with automatic reconnect","useWebSocket keeps socket/retry counter/timer in refs; exponential backoff capped at 30s; resets retry counter on successful reopen","No real backend WS endpoint yet; verified against a local Node WS test server driven by Playwright, then removed the harness. Noted StrictMode + lazy routes double-open on mount in dev only"
"8","TICKET-ADV116","Lavinia31","Completed","Need an SSE hook for the live trade feed capped at 200 rows","useTradeStream opens EventSource against /api/v1/trades/stream, prepends new trades immutably, caps at 200","No real backend SSE endpoint yet; verified against a local Node SSE test server (needed CORS header) via Playwright, then removed the harness"
"8","TICKET-ADV117","Lavinia31","Completed","Search box shouldn't fire an API call per keystroke","useDebouncedSearch settles the value after a pause; also wired the actual data fetch into Trades.jsx (apiService.listTrades) since nothing else owned it","Verified with Vitest fake timers; wiring the real fetch surfaced a pre-existing backend LazyInitializationException on GET /v1/trades, referenced in TICKET-ADV063 (day05) - frontend degrades to empty state correctly on that 500. A temporary EAGER-fetch fix was attempted afterward but rejected as a testing-only shortcut; see tracking-progress/day08/NOTE-lazy-init-blocker-resolved.md"
"8","TICKET-ADV118","Lavinia31","Completed","Need infinite scroll without polling window.onscroll or recreating the observer per render","useInfiniteScroll splits the loadMore callback (kept fresh via a ref) from the IntersectionObserver (created once); cleanup disconnects it","jsdom can't run IntersectionObserver; verified with Playwright wrapping the real constructor to count create/disconnect calls. Same StrictMode double-create-on-mount caveat as ADV115"
"8","TICKET-ADV119","Lavinia31","Completed","Trades page re-renders every row on any unrelated state change","New TradeRow.jsx: React.memo with a custom equality on id/status/price/onClick only","Found and fixed a real bug along the way: a literal <tr>/<td> inside DataTable's grid <div> is invalid HTML; fixed with <span style='display:contents'>. Verified render counts with a temporary counter, removed after"
"8","TICKET-ADV120","Lavinia31","Completed","Dashboard recomputes portfolio value on every render","Wrapped only portfolioValue in useMemo([trades]); left matched/breaks as plain filters, matching the ticket's own guidance against over-memoising cheap calculations","Verified with a mocked stable trades reference (flat count across unrelated re-renders, +1 on real change) and manually against a live SSE test server"
"8","TICKET-ADV121","Lavinia31","Completed","ADV119's memo never actually holds because onClick is a fresh arrow every render","Added useCallback-wrapped handleSelect in Trades.jsx, swapped inline row markup for <TradeRow>","Tested against a mocked /api/v1/trades response rather than the real backend, since GET /v1/trades was already hitting the pre-existing LazyInitializationException referenced in TICKET-ADV063 (day05). A temporary EAGER-fetch fix was attempted afterward but rejected as a testing-only shortcut; see tracking-progress/day08/NOTE-lazy-init-blocker-resolved.md. Confirmed via render counters that both rows stop re-rendering on unrelated clicks once the handler identity is stable"
"8","TICKET-ADV122","Lavinia31","Completed","All pages bundled eagerly; Suspense fallback was plain 'Loading…' text","Added PageSkeleton.jsx (shimmer bars) as the Suspense fallback; removed the unused .loader CSS class - lazy()/Suspense wiring itself already matched the ticket's reference","Verified against a production build; found react-router v7 skips the fallback on in-app <Link> navigation (only shows on direct URL load) - not a bug, documented for later"
"8","TICKET-ADV123","Lavinia31","Completed","/trades/new needs client-side validation before hitting the network, with correctly-typed numbers","Filled in the Yup schema for every AddTrade field; kept tradeDate as a string (not yup.date()) to match the backend's LocalDate wire format; implemented api.createTrade","Verified against the real backend: empty submit fires 0 requests with 6 alerts; valid submit sends real numbers (not strings); confirmed RHF stays uncontrolled while typing. Known limitation: newly created trades don't show up on /trades because GET /v1/trades hits the pre-existing LazyInitializationException referenced in TICKET-ADV063 (day05). A temporary EAGER-fetch fix was attempted afterward but rejected as a testing-only shortcut; see tracking-progress/day08/NOTE-lazy-init-blocker-resolved.md"
"8","TICKET-ADV124","Lavinia31","Completed","Need a light/dark toggle where React only owns which theme is active","ThemeProvider reads localStorage first, falls back to prefers-color-scheme for first-time visitors; one effect writes data-theme and persists the choice; added the toggle button","Verified with Playwright across separate browser contexts for OS light/dark defaults, plus persistence across reload"
"8","TICKET-ADV125","Lavinia31","Completed","No test proves Dashboard's summary cards render correctly through the provider chain","Dashboard.test.jsx with a renderWithProviders helper (Auth/Theme/Router), role-based queries, one numeric assertion","Hit a real jsdom gap: window.matchMedia is undefined, crashing anything wrapped in ThemeProvider; fixed with a small polyfill in the shared test-setup.js"
"8","TICKET-ADV127","Lavinia31","Completed (optional)","ADV119+ADV121 were implemented but never actually measured before/after","Temporarily reverted the useCallback fix, added a render counter, measured, then restored both files to their committed state","Render counts: both rows re-rendered on every click before the fix (climbing every time), zero re-renders after - confirmed both via Playwright scripted counts and the real React DevTools Profiler"
"9","TICKET-ADV128","pshavela","Completed","Add Kafka topics for event-based messaging","Kafka topics in dev mode are defined manually via the docker container",""
"9","TICKET-ADV129","pshavela","Completed","Emit a TradeEvent kafka topic","Use KafkaTemplate<String, TradeEvent> to publish events","Define the tradeRef as the key so all events for the same trade hash to the same partition and maintain ordering"
"9","TICKET-ADV130","pshavela","Completed","Define the TradeEvent kafka topic","Nothing to do",""
"9","TICKET-ADV131","pshavela","Completed","Implement a Consumer for trade events to trigger reconciliation","Just implement logging","We will use a custom triggering mechanism which involves a single POST endpoint, not on every trade add"
"9","TICKET-ADV132","pshavela","Completed","Implement a Consumer for audit events and persist to audit_log table","Similar to ReconConsumer, implement an onTradeEvent subscription method",""
"9","TICKET-ADV133","pshavela","Completed","Implement a Consumer for system alert events","Just log in dev mode",""
"9","TICKET-ADV134","pshavela","Completed","A DLQ error Handler which publishes on message failures","Define a DefaultErrorHandler with Exponential backoff which publishes to a custom -dlq topic after three failed attempts","The -dlq topic must have the same number of partitions as the primary and the DefaultErrorHandler will publish to all partitions"
"9","TICKET-ADV136","Lavinia31","Completed","DlqConsumer/DlqAdminController did not exist; the guide references the wrong Kafka header for the failure reason on a DeadLetterPublishingRecoverer record","Added DlqMessage entity+table, DlqConsumer (fixed to KafkaHeaders.DLT_EXCEPTION_MESSAGE, not EXCEPTION_MESSAGE), DlqAdminController with GET list + POST replay, ADMIN-only via @PreAuthorize","Forced a real duplicate-eventId failure and watched it retry then land on the DLQ, then replayed it; also found and fixed a separate bug where @PreAuthorize denials returned 500 instead of 403"
"9","TICKET-ADV137","Lavinia31","Completed","TradeAggregator.rebuild(tradeRef) did not exist; the guide assumes a different AuditLogEntry shape (JsonNode/getOperation) than this codebase actually has (String/getEventType)","Implemented rebuild() folding audit_log events ordered by event_timestamp (not eventId - not monotonic); CREATED/UPDATED set state, CANCELLED clears it","Covered with 3 unit tests matching the ticket's own scenarios; had no caller anywhere until wired into a real endpoint in ADV138"
"9","TICKET-ADV138","Lavinia31","Completed","GET /v1/audit/trades/{tradeRef}/events was a stub always returning an empty list","Wired the real query (same as the sibling history() method); added explicit @PreAuthorize; added a bonus /rebuild endpoint exposing ADV137's TradeAggregator","Verified live: ADMIN 200, TRADER 403, unauthenticated 403; /rebuild matched the real trades row for a live trade and 404'd for a cancelled one"
"9","TICKET-ADV139","Lavinia31","Completed","No kafka_consumer_*/kafka_producer_* metrics were exposed on /actuator/prometheus","Enabled management.metrics.binders.kafka.enabled: true; skipped the guide's other suggested property (metric.reporters=KafkaClientMetrics), which crashes the app on startup","Verified metrics appear after publishing events; found this Kafka client version exposes them under kafka_consumer_fetch_manager_*, not the bare names the ticket names"
"9","TICKET-ADV140","Lavinia31","Completed","No consumer-lag-by-topic Grafana panel existed","Added a Kafka health row to the existing Day 6 dashboard with a lag panel (yellow@100/red@1000), using the real fetch_manager-prefixed metric name","Verified live via a direct Prometheus API query and a screenshot of the rendered panel"
"9","TICKET-ADV141","Lavinia31","Completed","No produced-vs-consumed throughput panel existed","Added a panel with two rate() series next to the lag panel in the same row","Verified with real traffic: consumed came out ~2x produced, which is correct - trade-events has two independent consumer groups"
"9","TICKET-ADV142","Lavinia31","Completed","DLQ count Stat panel did not exist; the pre-existing KafkaDlqGrowing alert pointed at a nonexistent metric name and was missing a description annotation","Added the Stat panel; renamed/retargeted the alert to KafkaDlqMessages, added the missing description","Verified live end to end: forced a DLQ message, watched the panel show 1 and the alert transition to firing with the interpolated description"
"9","TICKET-ADV143","Lavinia31","Completed","No Testcontainers test proved the producer-to-consumer-to-DB pipeline; Testcontainers itself could not start a container in this environment","Wrote KafkaPipelineIT (adapted TradeEvent construction to the real API, added the missing awaitility dependency); fixed Testcontainers by bumping 1.20.3 to 1.21.4, resolving a real Docker Desktop npipe incompatibility","100 events through a real broker in 27.65s; also unblocked the two pre-existing Testcontainers tests that were failing before this bump"
"9","TICKET-ADV144","Lavinia31","Completed","No test proved a failing consumer actually routes to the DLQ; the guide mocks a ReconciliationEngine method that is not wired into this codebase's real consumer at all","Wrote DlqRoutingIT forcing a real failure (duplicate eventId) instead of mocking a nonexistent dependency; fixed a deserializer bug in the raw assertion consumer (missing default type)","Full backend suite green, 28/28 tests, after this and the Testcontainers fix"
