tradeRef,instrumentId,counterpartyId,quantity,price,currency,side,tradeDate
TRD-47212267-4892,13,7,8534626.06,152.58145,USD,SELL,2026-05-18
FIX-65529051-3595,5,7,4856.93,314.14,USD,SELL,2026-02-12
DER-17129912-8751,1,7,5919.34,532.08,EUR,BUY,2026-06-14
SPT-18213276-7564,3,1,2602.3,265.25,EUR,SELL,2026-03-25
SWP-50885459-4558,13,7,2523463.05,13.74766,USD,BUY,2026-05-19
TRD-46970882-3673,11,2,3908352.92,104.5526,USD,BUY,2026-03-05
FIX-02735359-2496,4,3,4736.14,95.94,USD,BUY,2026-04-30
OTC-49512272-2749,10,10,4819036.37,106.5507,EUR,BUY,2026-03-21
FXT-77669750-0420,15,5,5758391.49,145.34857,USD,SELL,2026-04-12
FIX-10200074-9700,12,4,518487.51,108.1744,GBP,BUY,2026-05-25
TRD-46600900-8728,7,6,690.5,519.8,GBP,BUY,2026-04-18
DER-14165187-7102,6,8,7073.38,351.21,USD,SELL,2026-06-07
DER-62394301-7136,14,10,2684686.98,136.37791,JPY,BUY,2026-03-13
DER-32730796-7613,10,10,3344260.47,95.0919,EUR,SELL,2026-03-25
EQT-65437844-3475,6,5,3404.05,704.85,USD,SELL,2026-05-23
TRD-69340535-3130,2,4,7201.03,393.42,EUR,BUY,2026-06-26
DER-86691619-8041,8,1,931.44,181.17,GBP,BUY,2026-03-20
SWP-63519947-9068,9,6,4255.61,598.02,CAD,SELL,2026-04-01
DER-36361787-5023,5,4,1207.44,158.1,USD,BUY,2026-05-18
EQT-25708194-3545,12,8,1389733.14,102.6876,GBP,SELL,2026-01-26
FIX-39761527-3727,6,3,3023.37,567.87,USD,BUY,2026-03-12
TRD-07318358-9066,5,3,6379.06,603.47,USD,BUY,2026-01-04
OTC-63001391-7843,8,6,1844.45,45.84,GBP,SELL,2026-01-30
FXT-53782042-8056,2,10,6294.83,47.62,EUR,BUY,2026-05-25
OTC-11432787-4066,2,9,7644.67,487.02,EUR,BUY,2026-05-14
SPT-60467027-7253,5,10,9900.32,247.78,USD,BUY,2026-06-06
FXT-27888820-3457,5,2,1571.41,143.18,USD,BUY,2026-02-10
TRD-54830300-7381,12,10,2354863.27,85.9792,GBP,SELL,2026-06-30
OTC-94353392-7438,2,4,9239.19,631.32,EUR,BUY,2026-04-19
FXT-73089925-3683,11,3,4542973.11,109.7989,USD,BUY,2026-01-16
EQT-41286958-9749,12,10,4606750.72,98.1746,GBP,SELL,2026-06-26
OTC-93916665-6594,5,9,5400.28,353.02,USD,BUY,2026-04-21
SWP-81029073-4102,1,2,2290.02,541.07,EUR,BUY,2026-06-22
OTC-77342561-0659,13,3,4705537.73,104.48546,USD,SELL,2026-02-16
SPT-85199362-8056,2,8,3480.26,269.98,EUR,BUY,2026-02-11
SWP-55250068-8117,5,7,8135.85,442.33,USD,SELL,2026-01-23
SWP-33876400-5296,2,7,8649.24,660.82,EUR,BUY,2026-06-18
DER-55465150-0888,4,9,3618.43,606.37,USD,SELL,2026-01-14
FIX-35843681-8998,3,5,4381.72,560.11,EUR,BUY,2026-01-08
FIX-95265438-2594,5,9,137.73,329.35,USD,BUY,2026-01-30
DER-15766039-2522,8,5,5089.21,222.37,GBP,SELL,2026-05-01
FIX-61308842-9031,3,7,1906.91,481.51,EUR,BUY,2026-01-18
OTC-55692629-5568,15,9,2672459.46,1.10865,USD,SELL,2026-05-31
DER-19944139-7316,9,8,3451.89,443.77,CAD,SELL,2026-04-27
SWP-25320492-3912,10,7,1175476.61,108.2663,EUR,BUY,2026-03-23
DER-94654083-6246,7,3,4953.79,34.43,GBP,SELL,2026-01-26
DER-13383077-8617,15,8,154460.63,23.66396,USD,BUY,2026-01-20
DER-35570755-5546,10,7,3252684.9,110.553,EUR,SELL,2026-03-23
DER-72613940-0588,10,2,1181503.51,105.532,EUR,SELL,2026-02-28
FXT-58246664-1612,13,2,4437341.84,111.25439,USD,BUY,2026-01-12
SWP-07532195-4806,6,6,4307.44,199.14,USD,SELL,2026-05-25
EQT-22814819-2868,2,10,8708.53,497.67,EUR,BUY,2026-05-08
EQT-31163805-7555,11,5,2303256.79,105.0052,USD,SELL,2026-03-15
EQT-09913576-7237,6,10,2992.24,769.81,USD,SELL,2026-04-27
OTC-26738452-6302,14,8,1067426.02,61.45133,JPY,SELL,2026-05-28
OTC-93855649-4837,1,7,2745.53,454.91,EUR,BUY,2026-06-05
DER-38412328-3770,10,6,1102832.65,90.704,EUR,SELL,2026-06-23
EQT-84322033-1591,15,1,3090019.91,70.92313,USD,SELL,2026-02-03
FXT-39609054-5352,12,7,886443.95,88.9648,GBP,SELL,2026-05-16
OTC-22084778-4210,15,8,9673873.38,47.71603,USD,SELL,2026-01-30
DER-10106509-2306,13,4,8601545.83,116.06772,USD,SELL,2026-05-23
SWP-12120246-6464,1,5,5366.19,366.55,EUR,SELL,2026-05-30
SPT-85704631-6086,2,4,4715.3,497.54,EUR,SELL,2026-06-06
FIX-86926431-1035,11,8,4547844.32,94.0657,USD,SELL,2026-01-30
EQT-06086345-0609,5,8,1162.09,191.67,USD,BUY,2026-04-10
DER-49796322-8850,7,10,7422.95,127.85,GBP,SELL,2026-06-17
FXT-65679047-6686,5,1,6903.12,177.73,USD,SELL,2026-03-02
SWP-13335151-6018,9,6,606.44,224.33,CAD,BUY,2026-04-27
FXT-88955314-3475,11,10,4855755.63,86.5174,USD,SELL,2026-03-04
EQT-75776373-3362,2,9,2072.37,176.68,EUR,BUY,2026-03-26
EQT-79991301-0046,5,3,9875.29,434.47,USD,BUY,2026-01-29
TRD-17690330-0243,6,4,5888.94,17.55,USD,SELL,2026-01-14
EQT-99551712-6897,9,2,7456.91,383.62,CAD,SELL,2026-05-12
FXT-60667140-8254,4,10,434.61,627.67,USD,SELL,2026-04-28
TRD-08163847-7847,14,7,4263309.92,17.89832,JPY,SELL,2026-01-19
FXT-43233116-9966,3,2,1262.79,501.33,EUR,SELL,2026-04-08
OTC-60896652-8282,10,7,504900.52,106.0534,EUR,BUY,2026-04-21
DER-30667888-6779,6,8,3987.9,585.04,USD,SELL,2026-04-20
SWP-89269266-4176,6,3,6868.52,382.04,USD,BUY,2026-01-22
FXT-57965485-1582,12,6,4060728.73,101.6911,GBP,SELL,2026-06-21
FXT-55137801-5793,14,7,8681053.4,115.56497,JPY,SELL,2026-06-03
OTC-47197152-1697,10,9,1071566.64,104.7021,EUR,BUY,2026-01-28
SWP-74660688-6022,2,5,5741.43,646.74,EUR,BUY,2026-06-05
OTC-03886030-2955,5,5,9215.45,284.06,USD,BUY,2026-02-06
SPT-09339597-2324,12,1,467870.84,100.9145,GBP,SELL,2026-04-18
DER-45754284-2578,6,5,7216.24,622.58,USD,BUY,2026-01-14
EQT-21127198-0815,11,2,1367793.19,104.8582,USD,SELL,2026-06-05
DER-55590800-4475,4,9,1139.06,346.78,USD,SELL,2026-06-23
DER-70723898-5053,1,4,3953.24,481.46,EUR,BUY,2026-02-22
OTC-28351344-2248,13,5,2895181.87,19.81351,USD,SELL,2026-04-21
EQT-17339011-6229,9,4,5003.12,667.52,CAD,SELL,2026-01-19
SPT-99595101-0693,7,1,4598.08,66.9,GBP,SELL,2026-05-28
SPT-76960402-6626,12,7,1454680.88,97.151,GBP,SELL,2026-02-13
DER-92557892-5928,2,7,8445.0,198.44,EUR,SELL,2026-05-15
FXT-53118906-5083,12,6,1115644.57,108.3735,GBP,BUY,2026-05-11
FXT-71216573-8355,4,6,3511.65,766.79,USD,BUY,2026-03-02
FXT-19655410-4193,4,3,6024.39,609.37,USD,BUY,2026-02-15
DER-62270726-9236,13,10,4489603.66,147.91777,USD,SELL,2026-06-10
SWP-20261159-7205,2,8,4422.64,245.74,EUR,SELL,2026-06-01
TRD-47236885-8312,2,5,4617.96,34.9,EUR,SELL,2026-03-15
FXT-86525668-1479,10,10,2540268.41,98.8813,EUR,BUY,2026-04-26
FIX-43154591-9912,8,9,1509.46,54.19,GBP,BUY,2026-03-29
FXT-67719420-2827,1,4,7076.51,792.83,EUR,BUY,2026-04-04
SWP-37969333-6347,7,6,6789.3,46.63,GBP,SELL,2026-01-17
SWP-12684373-9141,11,7,1427893.4,106.712,USD,BUY,2026-03-27
FXT-78213973-2317,15,6,3103007.14,105.20952,USD,SELL,2026-02-03
FXT-41551377-9157,7,6,8132.03,537.74,GBP,BUY,2026-06-15
SPT-68248169-5928,1,6,3089.35,761.18,EUR,SELL,2026-05-05
FIX-30406092-2253,3,2,2958.63,631.56,EUR,BUY,2026-06-19
SWP-82950779-2147,10,7,779721.28,90.4254,EUR,BUY,2026-04-23
TRD-55144509-5968,11,4,4848247.13,103.3179,USD,SELL,2026-03-01
FIX-41536077-7684,15,4,3679041.74,151.57784,USD,SELL,2026-04-29
OTC-51254050-8239,9,7,9662.72,654.43,CAD,BUY,2026-03-06
TRD-86057593-7873,14,6,5545852.91,17.04254,JPY,BUY,2026-03-14
FXT-21516757-4469,8,9,1474.34,352.79,GBP,BUY,2026-04-26
SWP-03579612-6797,1,7,5020.57,192.44,EUR,BUY,2026-04-06
FIX-03783268-5221,15,2,8391923.7,104.23874,USD,BUY,2026-02-05
TRD-38504300-7740,12,3,3796617.36,99.0733,GBP,BUY,2026-01-21
TRD-34349528-3533,14,3,5488493.65,116.5485,JPY,SELL,2026-01-29
OTC-31895531-4934,2,1,2385.16,512.97,EUR,SELL,2026-01-17
FXT-67085942-9776,9,1,6319.92,462.16,CAD,BUY,2026-03-16
SPT-00209961-5780,4,10,4166.26,533.18,USD,BUY,2026-05-15
SWP-09083764-8618,9,9,7864.34,408.56,CAD,BUY,2026-04-10
DER-05843091-6338,6,5,7473.42,288.89,USD,BUY,2026-03-30
FIX-98373678-1698,13,10,7352134.66,53.67021,USD,BUY,2026-04-01
SWP-86274567-2868,14,8,9808211.04,76.93002,JPY,BUY,2026-02-04
FXT-96105940-7498,1,5,2016.71,633.93,EUR,BUY,2026-03-22
OTC-69173614-6524,14,9,4734524.28,6.53369,JPY,BUY,2026-03-15
SWP-06416148-5438,5,2,7993.62,352.38,USD,SELL,2026-04-23
SPT-45504725-3060,8,8,3674.1,638.85,GBP,SELL,2026-01-22
SPT-10593403-7055,10,3,2731917.24,94.6363,EUR,BUY,2026-03-25
OTC-41137177-7305,10,7,841557.41,98.3173,EUR,SELL,2026-01-11
SWP-82523968-7126,5,1,751.34,511.82,USD,SELL,2026-05-12
EQT-04179623-2339,14,10,6781210.63,70.50093,JPY,BUY,2026-01-18
FIX-86592295-6001,6,7,9494.72,30.75,USD,BUY,2026-06-23
DER-49790013-6095,8,2,5739.64,425.92,GBP,SELL,2026-03-22
OTC-33502308-1858,1,3,4990.94,312.65,EUR,BUY,2026-03-09
OTC-94494355-7311,4,10,2856.48,733.6,USD,SELL,2026-02-21
FXT-18217159-1213,8,3,8986.89,358.86,GBP,BUY,2026-06-24
SWP-89635939-5692,12,2,2754485.77,93.7109,GBP,SELL,2026-02-10
EQT-48518659-8335,4,2,9851.34,634.69,USD,BUY,2026-05-07
TRD-48438711-9077,10,6,2342355.14,114.4904,EUR,BUY,2026-06-06
FXT-08824561-5067,7,8,5257.43,616.49,GBP,BUY,2026-02-02
SWP-86213226-1215,8,8,6801.41,278.89,GBP,BUY,2026-02-03
SPT-67493234-0907,14,2,5181503.23,49.14704,JPY,BUY,2026-03-24
FIX-46442431-8501,15,5,8459491.13,40.62143,USD,SELL,2026-02-02
OTC-82467167-8740,2,9,6410.23,475.49,EUR,BUY,2026-02-13
SWP-75647532-0674,14,1,813147.33,151.80351,JPY,SELL,2026-06-16
FIX-76790955-6825,10,1,2495209.92,103.8149,EUR,SELL,2026-06-14
OTC-64819756-4012,13,7,2975041.28,12.3246,USD,BUY,2026-02-10
DER-55783806-7933,8,4,3402.59,119.22,GBP,SELL,2026-03-30
SPT-17551135-6070,9,9,1062.73,197.18,CAD,BUY,2026-03-10
DER-33275109-2308,2,1,2902.83,310.4,EUR,SELL,2026-03-05
EQT-43947691-9464,12,6,957272.17,89.7803,GBP,SELL,2026-05-08
OTC-66755908-0379,2,7,5054.94,773.52,EUR,BUY,2026-05-30
SWP-06530784-0828,5,8,5975.59,675.07,USD,SELL,2026-03-15
TRD-14428014-7060,3,5,7275.35,612.27,EUR,SELL,2026-01-12
SPT-06866268-9343,9,4,3625.88,234.44,CAD,SELL,2026-05-10
DER-73800569-4582,14,10,6804306.0,19.6266,JPY,BUY,2026-04-11
SWP-45511258-9139,6,3,1991.38,409.75,USD,BUY,2026-01-12
TRD-18392710-5456,13,8,5193807.77,24.42625,USD,BUY,2026-03-25
SWP-21810655-6438,10,5,2972686.03,100.2194,EUR,SELL,2026-05-25
OTC-63739005-0272,6,6,6738.39,784.02,USD,SELL,2026-06-26
TRD-80115852-7775,5,10,5776.77,578.51,USD,SELL,2026-02-13
SPT-19834119-3968,1,10,9482.1,92.37,EUR,BUY,2026-04-23
SWP-56207740-2481,7,4,4104.36,621.1,GBP,SELL,2026-01-16
EQT-69616482-3397,9,6,9981.23,385.3,CAD,SELL,2026-03-22
EQT-61694994-8734,6,9,3543.52,618.73,USD,SELL,2026-06-06
DER-25805259-4038,5,9,2985.69,753.48,USD,SELL,2026-03-15
FIX-92642432-8011,6,8,3488.68,747.29,USD,SELL,2026-03-15
FXT-76970753-8899,7,7,8183.96,763.91,GBP,BUY,2026-03-16
TRD-38605090-1294,6,8,6560.06,599.13,USD,BUY,2026-02-21
OTC-75432781-4450,3,2,6157.15,471.53,EUR,BUY,2026-01-13
FIX-85623471-3814,1,2,4133.6,575.3,EUR,BUY,2026-06-24
EQT-00695441-9016,15,3,4069667.61,149.65061,USD,SELL,2026-05-03
FIX-38553376-5262,5,1,9079.46,76.12,USD,BUY,2026-05-17
TRD-23496796-6846,15,3,9339292.18,6.48894,USD,SELL,2026-05-07
EQT-38851599-0613,1,5,5680.05,90.3,EUR,SELL,2026-03-14
DER-86075494-8901,9,8,8892.71,111.69,CAD,SELL,2026-03-11
FIX-15119192-5417,3,8,6483.21,576.29,EUR,BUY,2026-03-28
OTC-76206305-3164,3,10,8561.61,718.15,EUR,SELL,2026-05-12
SWP-11641746-6567,11,2,932058.19,89.2184,USD,SELL,2026-03-05
TRD-35002007-6284,4,8,7537.81,763.46,USD,SELL,2026-05-30
TRD-35105069-5890,12,4,320000.42,88.5467,GBP,SELL,2026-02-10
SPT-92083242-8233,15,5,6903213.48,102.44671,USD,SELL,2026-04-05
FIX-29410942-2188,8,3,4550.33,791.13,GBP,SELL,2026-04-17
DER-72144402-3578,13,4,6803738.86,95.61324,USD,BUY,2026-05-15
DER-70890196-5927,2,10,1122.98,663.88,EUR,BUY,2026-05-27
EQT-22083803-5375,14,9,4418963.69,109.07103,JPY,SELL,2026-01-24
DER-07467311-7429,3,9,4154.83,453.31,EUR,SELL,2026-06-22
OTC-97077009-0356,7,5,8164.72,597.91,GBP,BUY,2026-01-12
SPT-46241881-1044,9,1,9345.89,59.87,CAD,SELL,2026-01-09
OTC-54877191-2948,13,3,7658511.0,156.54849,USD,SELL,2026-04-06
SPT-60201634-6184,7,2,6827.62,531.13,GBP,BUY,2026-06-17
SWP-15922674-2924,9,7,5288.9,583.65,CAD,BUY,2026-01-01
TRD-40045602-7585,11,9,2126398.87,96.3783,USD,BUY,2026-03-05
DER-46460773-2541,5,4,9374.17,581.39,USD,BUY,2026-01-09
SPT-82533595-0256,4,4,673.84,477.19,USD,SELL,2026-06-03
TRD-32847661-0724,7,8,2344.16,177.73,GBP,BUY,2026-02-05
OTC-31428626-9438,6,10,5979.58,539.66,USD,SELL,2026-03-02
OTC-19228089-8540,4,7,3005.71,53.46,USD,BUY,2026-06-10
SPT-74605013-8120,1,6,9415.92,538.72,EUR,SELL,2026-06-28
SPT-54795619-2444,5,7,1839.61,432.65,USD,BUY,2026-02-27
OTC-94969350-2365,13,8,9147497.0,90.28808,USD,SELL,2026-05-23
EQT-52132722-3978,5,4,3303.3,67.86,USD,SELL,2026-04-05
FXT-71891784-3120,1,5,3772.3,485.95,EUR,BUY,2026-01-19
FIX-78864147-9156,4,8,2089.68,726.09,USD,SELL,2026-01-04
FIX-25504548-1922,12,8,4573062.07,105.8688,GBP,BUY,2026-04-12
FIX-74098828-5269,13,5,3807236.78,85.71047,USD,SELL,2026-03-20
OTC-48270683-8401,15,8,4660574.66,128.58869,USD,SELL,2026-03-23
FIX-49755172-5126,7,1,5625.68,180.91,GBP,BUY,2026-01-05
OTC-74264220-9568,10,7,1483009.51,90.8858,EUR,BUY,2026-04-08
FIX-67015110-9021,11,6,1294060.52,109.6478,USD,SELL,2026-04-28
EQT-98351024-5770,3,3,7203.41,393.21,EUR,BUY,2026-05-15
TRD-09976458-0794,13,1,4124509.83,134.91737,USD,BUY,2026-01-18
EQT-01226946-3583,9,8,3732.63,496.18,CAD,SELL,2026-06-18
DER-02111482-0108,9,9,4113.97,18.3,CAD,SELL,2026-05-18
OTC-02300840-8228,14,7,8061870.82,145.6269,JPY,BUY,2026-01-25
EQT-32342289-3144,10,9,1269566.8,95.6332,EUR,SELL,2026-01-21
SWP-54496076-7520,10,4,4951262.83,91.7757,EUR,BUY,2026-06-17
TRD-12549425-6640,7,7,5527.46,49.61,GBP,BUY,2026-06-29
EQT-11097943-8189,14,7,6449427.51,53.47141,JPY,BUY,2026-05-16
TRD-30838737-3463,15,10,4755527.38,8.11732,USD,BUY,2026-06-25
OTC-72884346-9232,11,1,904978.97,110.5128,USD,BUY,2026-02-23
EQT-95658504-6525,15,2,2993469.62,90.53854,USD,SELL,2026-06-23
SWP-51518966-2292,13,2,5008427.72,155.90971,USD,BUY,2026-01-26
SPT-31157840-1245,6,10,7690.29,764.11,USD,SELL,2026-03-25
TRD-85110541-4478,13,8,4906543.96,57.38072,USD,SELL,2026-04-21
EQT-91227099-9598,11,7,437613.65,103.5585,USD,BUY,2026-01-19
FXT-35966597-2526,7,3,7396.81,256.76,GBP,BUY,2026-01-24
TRD-41374957-7286,6,5,1023.21,74.4,USD,SELL,2026-04-25
SPT-13863742-0430,2,6,5542.64,479.56,EUR,SELL,2026-04-09
TRD-39171088-6779,7,2,7248.71,449.83,GBP,BUY,2026-05-27
EQT-91981555-6237,3,3,2689.92,218.38,EUR,BUY,2026-01-17
EQT-58341261-4521,7,5,4842.83,66.15,GBP,SELL,2026-03-05
DER-79699345-3203,8,2,1355.76,10.38,GBP,SELL,2026-03-27
SPT-44230340-7212,6,7,8154.94,688.31,USD,BUY,2026-03-18
SWP-80961645-3290,8,6,1777.2,321.6,GBP,SELL,2026-03-16
DER-77293208-3971,6,7,2803.72,629.76,USD,SELL,2026-01-30
FIX-79487366-8939,3,9,270.13,583.13,EUR,BUY,2026-04-23
OTC-92990777-1133,14,7,6730103.55,22.87123,JPY,SELL,2026-03-03
OTC-88404247-2525,12,7,3947493.05,87.219,GBP,SELL,2026-05-30
SPT-71721578-8300,15,7,5436908.39,126.66184,USD,SELL,2026-06-29
FXT-14679315-4067,11,6,840029.08,103.3803,USD,SELL,2026-03-26
SPT-14219637-0172,2,5,2220.79,598.75,EUR,BUY,2026-04-25
SWP-52497139-7586,13,10,6904682.62,24.71367,USD,BUY,2026-05-04
FXT-39652241-6815,15,2,1161577.31,150.54971,USD,BUY,2026-03-31
OTC-46045630-7460,13,4,5211627.18,56.18424,USD,BUY,2026-04-23
DER-42803305-1100,5,1,8102.05,96.49,USD,SELL,2026-06-15
FXT-90884102-2692,15,4,5160423.03,88.61931,USD,SELL,2026-05-24
SPT-62015859-3798,13,7,6297973.43,30.39144,USD,SELL,2026-04-12
TRD-98970591-3232,8,10,4296.1,8.54,GBP,BUY,2026-02-22
OTC-94457033-1025,10,2,3999516.76,101.1067,EUR,SELL,2026-03-25
FIX-61411378-1867,5,8,5277.62,513.09,USD,SELL,2026-06-06
SPT-78786439-1871,6,6,8455.33,495.8,USD,SELL,2026-06-07
FXT-90209088-2194,6,2,2386.49,97.97,USD,SELL,2026-06-27
EQT-68561753-6364,7,10,1379.54,310.05,GBP,BUY,2026-05-05
EQT-74479105-2733,8,5,1403.83,255.09,GBP,SELL,2026-06-08
TRD-48189421-0157,8,3,1952.09,310.24,GBP,SELL,2026-04-15
DER-55784972-7272,8,3,827.62,29.53,GBP,BUY,2026-03-16
TRD-36890134-3683,9,5,1682.92,368.57,CAD,SELL,2026-05-21
FXT-76868379-1871,5,9,8233.0,296.66,USD,BUY,2026-04-23
FIX-57063296-1677,12,4,1495567.59,114.9794,GBP,SELL,2026-03-09
SWP-11674661-7193,14,2,7756540.87,38.44551,JPY,SELL,2026-06-06
SPT-22277675-2281,13,4,8135485.13,129.00667,USD,SELL,2026-05-17
OTC-80108882-8827,3,6,9790.02,237.64,EUR,SELL,2026-05-12
FXT-18198434-6743,15,1,9924869.77,138.82068,USD,BUY,2026-06-29
EQT-33511112-2396,12,6,4144124.2,107.8442,GBP,SELL,2026-05-06
EQT-77500742-4402,11,7,1882109.92,87.2655,USD,BUY,2026-04-14
OTC-93241540-6046,8,8,3273.57,6.97,GBP,BUY,2026-04-28
SWP-08500100-8756,7,4,9681.32,660.75,GBP,SELL,2026-03-10
SWP-38063218-5533,9,10,1306.81,682.68,CAD,SELL,2026-06-24
TRD-06166355-1631,11,8,91243.95,112.883,USD,BUY,2026-04-23
DER-00090721-7009,4,3,8821.6,244.98,USD,SELL,2026-01-24
SWP-33606680-1350,6,3,518.82,502.36,USD,BUY,2026-04-20
FXT-94448752-1559,1,4,4768.59,110.5,EUR,BUY,2026-05-13
DER-01246473-0132,12,6,4087374.04,114.6446,GBP,SELL,2026-06-27
EQT-64115841-1160,4,7,894.22,645.74,USD,BUY,2026-03-22
SWP-40165370-2246,7,3,6416.12,543.32,GBP,BUY,2026-05-16
TRD-81915661-2688,8,6,7224.6,504.32,GBP,BUY,2026-04-16
DER-29158087-1420,15,2,1400991.4,20.31895,USD,SELL,2026-03-31
SPT-42211967-2290,4,5,6446.56,202.29,USD,SELL,2026-06-26
TRD-88369672-4942,4,9,6069.66,154.97,USD,SELL,2026-03-17
TRD-32123815-8108,7,2,2411.58,512.28,GBP,BUY,2026-05-16
TRD-48465780-5185,3,7,8608.28,456.86,EUR,SELL,2026-05-20
EQT-63218512-1195,1,10,676.26,213.44,EUR,BUY,2026-01-16
SPT-67996124-4693,11,9,3837878.9,97.7073,USD,SELL,2026-01-22
EQT-37241089-1369,5,2,5113.54,166.54,USD,BUY,2026-05-18
SWP-52443094-9608,11,2,1557745.77,98.1246,USD,BUY,2026-01-15
FIX-11571285-7118,2,8,6123.36,48.75,EUR,BUY,2026-01-31
TRD-95012811-2248,12,1,827524.83,113.5905,GBP,SELL,2026-02-12
